Category,Description,Rule,Severity,Likelihood,Remediation Cost,Priority,Level
Expressions (EXP),Do not read uninitialized memory,EXP33-C,High,Probable,Medium,P12,L1
Expressions (EXP),Do not dereference null pointers,EXP34-C,High,Likely,Medium,P18,L1
Arrays (ARR),Guarantee that library functions do not form invalid pointers,ARR38-C,High,Likely,Medium,P18,L1
Characters and Strings (STR),Guarantee that storage for strings has sufficient space for character data and the null terminator,STR31-C,High,Likely,Medium,P18,L1
Characters and Strings (STR),Do not pass a non-modifiable string literal as an argument to a function that expects a modifiable array,STR32-C,High,Probable,Medium,P12,L1
Characters and Strings (STR),Do not cast pointers into more strictly aligned pointer types,STR38-C,High,Likely,Low,P27,L1
Memory Management (MEM),Do not access freed memory,MEM30-C,High,Likely,Medium,P18,L1
Memory Management (MEM),Ensure that dynamically allocated memory is freed only once,MEM34-C,High,Likely,Medium,P18,L1
File Input/Output (FIO),Do not use input functions in interrupt handlers,FIO30-C,High,Likely,Medium,P18,L1
File Input/Output (FIO),Ensure that files are properly closed,FIO34-C,High,Probable,Medium,P12,L1
File Input/Output (FIO),Use the appropriate stream functions,FIO37-C,High,Probable,Medium,P12,L1
Environment (ENV),Do not call the system function,ENV32-C,Medium,Likely,Medium,P12,L1
Environment (ENV),Do not access environment variables after their scope ends,ENV33-C,High,Probable,Medium,P12,L1
Signals (SIG),Do not access shared data in signal handlers,SIG30-C,High,Likely,Medium,P18,L1
Error Handling (ERR),Ensure that error checking is done and that all errors are handled appropriately,ERR33-C,High,Likely,Medium,P18,L1
Miscellaneous (MSC),Ensure that operations on a type that is defined with more than one storage class specifier are not performed,MSC32-C,Medium,Likely,Low,P18,L1
Miscellaneous (MSC),Do not use deprecated or obsolescent functions,MSC33-C,High,Likely,Low,P27,L1
Miscellaneous (MSC),Do not use deprecated or obsolescent functions,MSC41-C,High,Probable,Medium,P12,L1
POSIX (POS),Ensure that the arguments to ctype functions are within the domain,POS30-C,High,Probable,Medium,P12,L1
POSIX (POS),Ensure that functions that rely on a particular execution locale are used properly,POS35-C,High,Likely,Medium,P18,L1
POSIX (POS),Do not perform inappropriate operations on objects representing file descriptors,POS36-C,High,Probable,Medium,P12,L1
POSIX (POS),Ensure that the strxfrm() function behaves properly,POS37-C,High,Probable,Low,P18,L1
POSIX (POS),Do not call system() without validating the function's output,POS39-C,Medium,Likely,Low,P18,L1
POSIX (POS),Ensure that the freopen() function behaves properly,POS47-C,Medium,Probable,Low,P12,L1
POSIX (POS),Do not access shared data in signal handlers,POS54-C,High,Likely,Medium,P18,L1
Declarations and Initialization,Do not define a C-style variadic function,DCL50-CPP,High,Probable,Medium,P12,L1
Expressions (EXP),Do not read uninitialized memory,EXP53-CPP,High,Probable,Medium,P12,L1
Expressions (EXP),Do not pass a nonstandard-layout type object across execution boundaries,EXP60-CPP,High,Probable,Medium,P12,L1
Containers (CTR),Guarantee that library functions do not overflow,CTR52-CPP,High,Likely,Medium,P18,L1
Containers (CTR),Do not use an additive operator on an iterator if the result would overflow,CTR55-CPP,High,Likely,Medium,P18,L1
Characters and Strings (STR),Guarantee that storage for strings has sufficient space for character data and the null terminator,STR50-CPP,High,Likely,Medium,P18,L1
Characters and Strings (STR),Do not attempt to create a std::string from a null pointer,STR51-CPP,High,Likely,Medium,P18,L1
Memory Management (MEM),Do not access freed memory,MEM50-CPP,High,Likely,Medium,P18,L1
Memory Management (MEM),Properly deallocate dynamically allocated resources,MEM51-CPP,High,Likely,Medium,P18,L1
Memory Management (MEM),Detect and handle memory allocation errors,MEM52-CPP,High,Likely,Medium,P18,L1
Memory Management (MEM),Explicitly construct and destruct objects when manually managing object lifetime,MEM53-CPP,High,Likely,Medium,P18,L1
Memory Management (MEM),Provide placement new with properly aligned pointers to sufficient storage capacity,MEM54-CPP,High,Likely,Medium,P18,L1
Memory Management (MEM),Honor replacement dynamic storage management requirements,MEM55-CPP,High,Likely,Medium,P18,L1
Memory Management (MEM),Do not store an already-owned pointer value in an unrelated smart pointer,MEM56-CPP,High,Likely,Medium,P18,L1
Exceptions and Error Handling,Catch handlers should order their parameter types from most derived to least derived,ERR54-CPP,Medium,Likely,Low,P18,L1
Exceptions and Error Handling,Do not throw an exception across execution boundaries,ERR59-CPP,High,Probable,Medium,P12,L1
Miscellaneous,Ensure your random number generator is properly seeded,MSC51-CPP,Medium,Likely,Low,P18,L1
Declarations (DCL),Declare objects with appropriate storage durations,DCL30-C,High,Probable,High,P6,L2
Declarations (DCL),Do not declare an identifier with conflicting linkage classifications,DCL36-C,Medium,Probable,Medium,P8,L2
Expressions (EXP),Do not depend on the order of evaluation for side effects,EXP30-C,Medium,Probable,Medium,P8,L2
Expressions (EXP),Do not access a volatile object through a nonvolatile reference,EXP32-C,Low,Likely,Medium,P6,L2
Expressions (EXP),Do not compare padding data,EXP42-C,Medium,Probable,Medium,P8,L2
Expressions (EXP),Do not perform assignments in selection statements,EXP45-C,Low,Likely,Medium,P6,L2
Expressions (EXP),Do not use a bitwise operator with a Boolean-like operand,EXP46-C,Low,Likely,Low,P9,L2
Expressions (EXP),Do not call va_arg with an argument of the incorrect type,EXP47-C,Medium,Likely,High,P6,L2
Integers (INT),Ensure that unsigned integer operations do not wrap,INT30-C,High,Likely,High,P9,L2
Integers (INT),Ensure that integer conversions do not result in lost or misinterpreted data,INT31-C,High,Probable,High,P6,L2
Integers (INT),Ensure that operations on signed integers do not result in overflow,INT32-C,High,Likely,High,P9,L2
Integers (INT),Ensure that division and remainder operations do not result in divide-by-zero errors,INT33-C,Low,Likely,Medium,P6,L2
Floating Point (FLP),Do not use floating-point variables as loop counters,FLP30-C,Low,Probable,Low,P6,L2
Floating Point (FLP),Prevent or detect domain and range errors in math functions,FLP32-C,Medium,Probable,Medium,P8,L2
Arrays (ARR),Do not form or use out-of-bounds pointers or array subscripts,ARR30-C,High,Likely,High,P9,L2
Arrays (ARR),Ensure size arguments for variable length arrays are in a valid range,ARR32-C,High,Probable,High,P6,L2
Arrays (ARR),Do not subtract or compare two pointers that do not refer to the same array,ARR36-C,Medium,Probable,Medium,P8,L2
Arrays (ARR),Do not add or subtract an integer to a pointer to a non-array object,ARR37-C,Medium,Probable,Medium,P8,L2
Arrays (ARR),Do not add or subtract a scaled integer to a pointer,ARR39-C,High,Probable,High,P6,L2
Characters and Strings (STR),Do not attempt to modify string literals,STR30-C,Low,Likely,Low,P9,L2
Characters and Strings (STR),Ensure that operations on character data are consistent with multibyte characters,STR34-C,Medium,Probable,Medium,P8,L2
Memory Management (MEM),Ensure that heap memory is released under all conditions,MEM31-C,Medium,Probable,Medium,P8,L2
Memory Management (MEM),Do not write outside the bounds of allocated memory,MEM35-C,High,Probable,High,P6,L2
File Input/Output (FIO),Do not perform input or output operations on non-byte stream objects,FIO39-C,Low,Likely,Medium,P6,L2
File Input/Output (FIO),Do not use the fopen() function in an interrupt handler,FIO45-C,High,Probable,High,P6,L2
File Input/Output (FIO),Ensure that functions are used in accordance with their specifications,FIO47-C,High,Unlikely,Medium,P6,L2
Signals (SIG),Ensure that signal handlers terminate safely,SIG31-C,High,Likely,High,P9,L2
Error Handling (ERR),Do not use signal functions in a multithreaded context,ERR30-C,Medium,Probable,Medium,P8,L2
Concurrency (CON),Ensure that access to critical sections is controlled properly,CON32-C,Medium,Probable,Medium,P8,L2
Concurrency (CON),Ensure that the arguments to ctype functions are within the domain,CON37-C,Low,Probable,Low,P6,L2
Concurrency (CON),Avoid race conditions by not allowing multiple threads to access the same data concurrently,CON39-C,Low,Likely,Medium,P6,L2
Concurrency (CON),Ensure that the handling,CON40-C,Medium,Probable,Medium,P8,L2
Miscellaneous (MSC),Do not use deprecated or obsolescent functions,MSC30-C,Medium,Unlikely,Low,P6,L2
Miscellaneous (MSC),Do not use deprecated or obsolescent functions,MSC37-C,High,Unlikely,Low,P9,L2
POSIX (POS),Ensure that format strings do not reference invalid parameters,POS34-C,High,Unlikely,Medium,P6,L2
POSIX (POS),Do not perform inappropriate operations on objects representing file descriptors,POS44-C,Low,Probable,Low,P6,L2
POSIX (POS),Do not use functions in signal handlers that are not async-signal-safe,POS49-C,Medium,Probable,Medium,P8,L2
Windows (WIN),Do not use the strcat() function unsafely,WIN30-C,Low,Probable,Low,P6,L2
Declarations and Initialization,Overload allocation and deallocation functions as a pair in the same scope,DCL54-CPP,Low,Probable,Low,P6,L2
Declarations and Initialization,Do not let exceptions escape from destructors or deallocation functions,DCL57-CPP,Low,Likely,Medium,P6,L2
Declarations and Initialization,Do not modify the standard namespaces,DCL58-CPP,High,Unlikely,Medium,P6,L2
Expressions (EXP),Do not depend on the order of evaluation for side effects,EXP50-CPP,Medium,Probable,Medium,P8,L2
Expressions (EXP),Do not access an object outside of its lifetime,EXP54-CPP,High,Probable,High,P6,L2
Expressions (EXP),Do not access a cv-qualified object through a cv-unqualified type,EXP55-CPP,Medium,Probable,Medium,P8,L2
Expressions (EXP),A lambda object must not outlive any of its reference captured objects,EXP61-CPP,High,Probable,High,P6,L2
Expressions (EXP),Do not access the bits of an object representation that are not part of the object's value representation,EXP62-CPP,High,Probable,High,P6,L2
Expressions (EXP),Do not rely on the value of a moved-from object,EXP63-CPP,Medium,Probable,Medium,P8,L2
Containers (CTR),Guarantee that container indices and iterators are within the valid range,CTR50-CPP,High,Likely,High,P9,L2
Containers (CTR),"Use valid references, pointers, and iterators to reference elements of a container",CTR51-CPP,High,Probable,High,P6,L2
Containers (CTR),Use valid iterator ranges,CTR53-CPP,High,Probable,High,P6,L2
Containers (CTR),Do not subtract iterators that do not refer to the same container,CTR54-CPP,Medium,Probable,Medium,P8,L2
Containers (CTR),Do not use pointer arithmetic on polymorphic objects,CTR56-CPP,High,Likely,High,P9,L2
Characters and Strings (STR),"Use valid references, pointers, and iterators to reference elements of a basic_string",STR52-CPP,High,Probable,High,P6,L2
Characters and Strings (STR),Range check element access,STR53-CPP,High,Unlikely,Medium,P6,L2
Memory Management (MEM),Avoid using default operator new for over-aligned types,MEM57-CPP,Medium,Unlikely,Low,P6,L2
Input Output (FIO),Do not alternately input and output from a file stream without an intervening positioning call,FIO50-CPP,Low,Likely,Medium,P6,L2
Exceptions and Error Handling,Honor exception specifications,ERR55-CPP,Low,Likely,Low,P9,L2
Exceptions and Error Handling,Guarantee exception safety,ERR56-CPP,High,Likely,High,P9,L2
Exceptions and Error Handling,Handle all exceptions thrown before main() begins executing,ERR58-CPP,Low,Likely,Low,P9,L2
Object Oriented Programming,Do not delete a polymorphic object without a virtual destructor,OOP52-CPP,Low,Likely,Low,P9,L2
Object Oriented Programming,Do not use pointer-to-member operators to access nonexistent members,OOP55-CPP,High,Probable,High,P6,L2
Object Oriented Programming,Prefer special member functions and overloaded operators to C Standard Library functions,OOP57-CPP,High,Probable,High,P6,L2
Object Oriented Programming,Copy operations must not mutate the source object,OOP58-CPP,Low,Likely,Low,P9,L2
Concurrency,Ensure actively held locks are released on exceptional conditions,CON51-CPP,Low,Probable,Low,P6,L2
Concurrency,Prevent data races when accessing bit-fields from multiple threads,CON52-CPP,Medium,Probable,Medium,P8,L2
Miscellaneous,Do not use std::rand() for generating pseudorandom numbers,MSC50-CPP,Medium,Unlikely,Low,P6,L2
Miscellaneous,Value-returning functions must return a value from all exit paths,MSC52-CPP,Medium,Probable,Medium,P8,L2
Miscellaneous,A signal handler must be a plain old function,MSC54-CPP,High,Probable,High,P6,L2
Preprocessor (PRE),Do not create a universal character name through concatenation,PRE30-C,Low,Unlikely,Medium,P2,L3
Preprocessor (PRE),Avoid side effects in arguments to unsafe macros,PRE31-C,Low,Unlikely,Low,P3,L3
Preprocessor (PRE),Do not use preprocessor directives in invocations of function-like macros,PRE32-C,Low,Unlikely,Medium,P2,L3
Declarations (DCL),Declare identifiers before using them,DCL31-C,Low,Unlikely,Low,P3,L3
Declarations (DCL),Do not declare or define a reserved identifier,DCL37-C,Low,Unlikely,Low,P3,L3
Declarations (DCL),Use the correct syntax when declaring a flexible array member,DCL38-C,Low,Unlikely,Low,P3,L3
Declarations (DCL),Avoid information leakage when passing a structure across a trust boundary,DCL39-C,Low,Unlikely,High,P1,L3
Declarations (DCL),Do not create incompatible declarations of the same function or object,DCL40-C,Low,Unlikely,Medium,P2,L3
Declarations (DCL),Do not declare variables inside a switch statement before the first case label,DCL41-C,Medium,Unlikely,Medium,P4,L3
Expressions (EXP),Do not modify objects with temporary lifetime,EXP35-C,Low,Probable,Medium,P4,L3
Expressions (EXP),Do not cast pointers into more strictly aligned pointer types,EXP36-C,Low,Probable,Medium,P4,L3
Expressions (EXP),Call functions with the correct number and type of arguments,EXP37-C,Medium,Probable,High,P4,L3
Expressions (EXP),Do not access a variable through a pointer of an incompatible type,EXP39-C,Medium,Unlikely,High,P2,L3
Expressions (EXP),Do not modify constant objects,EXP40-C,Low,Unlikely,Medium,P2,L3
Expressions (EXP),Avoid undefined behavior when using restrict-qualified pointers,EXP43-C,Medium,Probable,High,P4,L3
Expressions (EXP),"Do not rely on side effects in operands to sizeof, _Alignof, or _Generic",EXP44-C,Low,Unlikely,Low,P3,L3
Integers (INT),Do not shift an expression by a negative number of bits or by greater than or equal to the number of bits that exist in the operand,INT34-C,Low,Unlikely,Medium,P2,L3
Integers (INT),Use correct integer precisions,INT35-C,Low,Unlikely,Medium,P2,L3
Integers (INT),Converting a pointer to integer or integer to pointer,INT36-C,Low,Probable,High,P2,L3
Floating Point (FLP),Ensure that floating-point conversions are within range of the new type,FLP34-C,Low,Unlikely,Low,P3,L3
Floating Point (FLP),Preserve precision when converting integral values to floating-point type,FLP36-C,Low,Unlikely,Medium,P2,L3
Floating Point (FLP),Do not use object representations to compare floating-point values,FLP37-C,Low,Unlikely,Medium,P2,L3
Characters and Strings (STR),Do not use byte I/O functions on non-byte I/O devices,STR37-C,Low,Unlikely,Low,P3,L3
Memory Management (MEM),Do not use memset() on non-byte addressable data,MEM33-C,Low,Unlikely,Low,P3,L3
Memory Management (MEM),Do not modify unexpected read-only memory,MEM36-C,Low,Probable,High,P2,L3
File Input/Output (FIO),Do not use output functions in interrupt handlers,FIO32-C,Medium,Unlikely,Medium,P4,L3
File Input/Output (FIO),Avoid race conditions when using file descriptors,FIO38-C,Low,Probable,Medium,P4,L3
File Input/Output (FIO),Do not perform input/output operations on directory streams,FIO40-C,Low,Probable,Medium,P4,L3
File Input/Output (FIO),Ensure that files are closed after being opened,FIO41-C,Low,Unlikely,Medium,P2,L3
File Input/Output (FIO),Do not access or modify files with link names,FIO42-C,Medium,Unlikely,Medium,P4,L3
File Input/Output (FIO),Ensure that files are opened with appropriate access modes,FIO44-C,Medium,Unlikely,Medium,P4,L3
File Input/Output (FIO),Do not use the system() function for general purpose tasks,FIO46-C,Medium,Unlikely,Medium,P4,L3
Environment (ENV),Avoid calls to system() where possible,ENV30-C,Low,Probable,Medium,P4,L3
Environment (ENV),Preserve previous environments when modifying the environment,ENV31-C,Low,Probable,Medium,P4,L3
Environment (ENV),Ensure that the environment is restored when needed,ENV34-C,Low,Probable,Medium,P4,L3
Signals (SIG),Do not use a signal handler to modify process-shared objects,SIG34-C,Low,Unlikely,Low,P3,L3
Signals (SIG),Do not modify a signal handler's context,SIG35-C,Low,Unlikely,High,P1,L3
